statename,gender,educ,partyid,firstthought,taxpayer,percenttp,recent,tpfeel,biggest,wagesal,paystub,child,depend,glad,upset,benefit,wastecents,wastethink,eitcself,eitcexp,eitcother,eitcthink,labforce,polideo,polinffreq,regvote,feelfedgov_1,voted,discusspol,poleffic,polvol,polknow1,polknow2,polkno3,marital,ownhome,stateresid,yearbirth,raceeth,hhinc,weightvec,firstthought_sentiment,tpfeel_sentiment,benefit_sentiment,eitcthink_sentiment,taxpayer_gap
Alabama,2,3.0,7.0,a levy imposed on employees,1,96.0,today at the grocery store,I don't mind paying taxes but some are very high.,income taxes,1.0,"federal, state and local",0.0,1,Military....Education...Fixing up the Interstate systems,Congressmen expense accounts....campaign funds....foreign aid,no,100.0,"a lot of things....sending money to other countries when our country is in need of money....giving congressmen spending money, when all they do is spend it irrationally.",3.0,,3.0,,9.0,7.0,2.0,1.0,39,1.0,4.0,5.0,4.0,2,1,3,1,1,1,26,1.0,11.0,0.432154266,-1,0,-1,0,6.0
Ohio,2,5.0,6.0,"Rip-off, gov't making excuses for misuse of dollars",2,63.0,"I do not remember but, I haven't had to pay taxes in a long time.",It feels terrible.,any gov't tax puts us in the poorhouse,1.0,"City, state, FICA, medical",0.0,no,"Nothing, because I rarely benefit.","Everything. I worked and fell ill and my tax dollars didn't help me with breast cancer surgery. But if I pop out kids, the government will help me. ",Not at all,89.0,"tax breaks for corporations, building new schools",4.0,,2.0,It isn't fair,2.0,6.0,1.0,1.0,0,1.0,2.0,2.0,3.0,1,2,6,5,3,36,45,2.0,1.0,1.997084031,0,-1,0,-1,27.0
Pennsylvania,1,2.0,2.0,"property out of control, income wow, state income  all out to get what you have",1,29.0,"purchased used car , taxes 700.--",painful,sales and property and school tax,1.0,44 years in retail retired 14 years  that says enough,0.0,1,it all goes in to one big pot for all the politicans to take what they need,Washington DC.and all the graft they can get their hands on. ,I still have a roof over my house.,86.0,17 trillion ,3.0,,4.0,,6.0,7.0,2.0,1.0,19,1.0,3.0,4.0,4.0,2,1,6,1,1,39,6,1.0,4.0,0.498672977,1,-1,0,0,61.0
North Carolina,1,2.0,1.0,paying your bills on time,1,63.0,last year at my computer online,that it makes you think you are doing a service,sales tax,1.0,sales tax and income tax,0.0,0,my rent and a new computer,that i have to pay taxes and for vacation,yes i bought a computer,22.0,oil,3.0,,3.0,,2.0,4.0,1.0,1.0,53,1.0,1.0,1.0,1.0,1,1,3,5,3,34,52,2.0,1.0,1.601966451,0,0,1,0,27.0
New Hampshire,2,5.0,2.0,how some people get tax breaks and others dont...I think everyone should have to pay their fair share,1,100.0,"I pay taxes on my house, government and when I go out of state",I would be happier if everyone paid their share,the house tax,0.0,,1.0,no,"roads, schools, teachers, health care, the poor, the needy, the children","government spending on stupid things that should be done, ","no, I wonder where my money goes",81.0,"they waste it on projects that arent really helping the people, like elections...big money goes to themm...what about the people",2.0,a great deal,2.0,if you have kids you should get some back because kids cost a lot ...and eat a lot,1.0,3.0,2.0,1.0,39,1.0,2.0,2.0,4.0,1,2,6,1,1,30,48,1.0,12.0,0.784998321,1,1,-1,0,10.0
New York,1,6.0,1.0,Payments to various levels of government,1,64.0,yesterday a sales tax after purchasing a stove,it is what it is,income,1.0,"income,social security unemployment",0.0,none,"social security,health care,and running of government","overspend on defense, farm subsidies and payments to the oil and gas industries","A good transportataion system,excellent health care, good education, social security and environmental issues",35.0,"defense spending,farm subsidies,support for gas and oil industries",3.0,,2.0,I wholeheartedly support it,6.0,2.0,1.0,1.0,20,1.0,1.0,1.0,3.0,2,1,3,1,1,33,10,3.0,19.0,4.833885646,0,0,1,1,26.0
New York,1,1.0,4.0,obligations that must to be paid by the whole community,2,10.0,"land tax, the car and the house was the last one I paid",ordinary because it has an obligation,The housing tax greatest,0.0,,0.0,none,indeed the ordinary course obligations,indeed the ordinary course obligations,good for services and development,0.0,none,3.0,,3.0,,1.0,,,2.0,6,2.0,,4.0,3.0,4,4,6,6,4,33,59,1.0,2.0,3.850323301,0,0,1,0,80.0
South Carolina,2,5.0,6.0,Hassle not only paying them but having to 'do my taxes' every yr,1,75.0,Every year around April 15th / Also I pay taxes on almost everything I buy like food etc,I understand it is necessary but I also think so things and people are over taxed,Income tax,1.0,"FICA, social security, worker's comp",0.0,No,"Schools/education, roads, helping poor, helping disability",Some of the useless projects the government approves ,"Yes, workers comp",32.0,Useless projects and excessive spending on decorations etc for White House ,3.0,,4.0,,1.0,5.0,3.0,1.0,38,2.0,3.0,3.0,4.0,1,2,3,5,4,41,33,1.0,12.0,0.432154266,0,0,1,0,15.0
Michigan,2,4.0,2.0,A necessary evil that consumers need to pay each year.,1,90.0,"I paid homeowners taxes on September 14, 2014",I feel all grown up.,Homeowners taxes makes up the biggest part of my family budget,1.0,"FDIC, Social Security taxes were on a payroll check.",0.0,1,It goes to social security to help retirees live.,There's too much money taken out of my check even in retirement years.,Not really but I make the most of what I get through social security.  Social Security is a very important part of our society.,60.0,Nothing in particular.,3.0,,2.0,It's a good thing for families.,6.0,6.0,4.0,1.0,49,1.0,4.0,3.0,4.0,2,2,6,1,1,23,17,1.0,12.0,0.787470485,-1,0,1,1,0.0
Virginia,2,2.0,7.0,Jackson Huston and H r block,1,100.0,I haven't paid know type of taxes throughout any year,Well feel great,By making my goals,0.0,,0.0,0,everything that it give me each year,,Well what ever my earnings give you in a year,50.0,Doing the right things in life,1.0,none,1.0,Well I think it is a good resources with adding someone,4.0,6.0,4.0,1.0,100,1.0,3.0,1.0,4.0,1,1,6,3,3,47,33,2.0,,1.326942338,-1,1,1,1,10.0
South Carolina,1,6.0,2.0,An unpleasant necessity to pay for goods and services.,1,60.0,Today when I made a purchase at Office Depot.,Like an honest and supportive citizen.,Income tax.,1.0,"Social security, State of S.C., Federal",0.0,0,Police and fire departments.,The salaries and benefits of elected officials.,"Yes.  My father died when I was 10, and I had two younger sisters.  We could not have survived without social security payments from people's taxes.  When I pay taxes, I hope some of the money helps others in need.",40.0,Extreme benefits for Congress.  Wars that only benefit defense contractors.,3.0,,3.0,,1.0,3.0,2.0,1.0,30,2.0,1.0,4.0,4.0,1,1,3,1,1,41,21,1.0,19.0,1.302865633,-1,1,-1,0,30.0
Connecticut,2,5.0,4.0,high and higher than we need,1,71.0,"I pay my vehicle tax, imagine a vehicle tax in the town I love in",some of the taxes are rediculous,income tax ,1.0,"federal, state, social security,, madicare",3.0,0,security would be important,"things that are not important while people are starving, like a bicycle trail, etc...etc....","no, not at all",97.0,wasted money on raoads  that were better before the work,4.0,,4.0,,1.0,4.0,2.0,1.0,0,1.0,1.0,1.0,1.0,2,1,3,5,1,7,38,1.0,,0.943841593,0,0,-1,0,19.0
Missouri,1,3.0,3.0,"Monies that I am required to pay for goods, services and for earning an income.",1,75.0,At the store buying groceries and other items for the household.,"I am at the point in life that I am feeling ""tax poor"" and at this point when on a ballot I vote no for any new or tax increases.",Income tax,1.0,FICA ,0.0,1,"Frankly I am not all that sure what most of my tax dollars pay for, i.e. what does sales tax on products pay for ? ",Mostly some of the studies that the government funds like the mating habits of insects and other ridiculous things like that.,No,80.0,How about the lifetime retirement pay for certain goverment workers.,3.0,,2.0,I think that any credit or refund or tax break a person can get the better.,1.0,4.0,3.0,1.0,75,2.0,3.0,2.0,4.0,1,1,6,1,2,26,22,1.0,12.0,0.538743107,-1,-1,-1,1,15.0
Alabama,2,2.0,,nothing comes to my mind when i hear that word,2,80.0,when i was working before i had to quit to care for my now deceased husband as he was sick,it doesnt feel good unless you get a refund,i dont pay taxes because i am on disability amd ssi,1.0,i cant remember them,0.0,no,"education,social security",i really cant think of anything except government wasteful spending,i dont know,60.0,nothing,2.0,it gave us bigger refunds,2.0,i think its a good thing,8.0,1.0,4.0,2.0,20,2.0,3.0,2.0,4.0,4,4,6,2,1,1,30,5.0,1.0,0.876566393,0,-1,0,1,10.0
Massachusetts,1,5.0,1.0,money and payments toward a local state or federal pool,1,74.0,"income tax, every 2 weeks",good if it goes to good use.,income,1.0,"federal, state, health care",0.0,o,everything roads transportation public projects anything,wars and military spending is the woest,yes by many of the public projects and communal well-being,14.0,military and war spending ,3.0,,3.0,,1.0,1.0,3.0,1.0,64,1.0,3.0,3.0,4.0,2,1,6,5,4,22,54,1.0,12.0,0.784998321,0,1,1,0,16.0
Illinois,2,2.0,5.0,government fees for services needed,1,31.0,"sales taxes, gas taxas, property taxes, as well as withholding taxes at work",we are all taxed too much,we have to budget for property taxes,1.0,"federal taxes, state, medicare, ssi,",0.0,no,"defense, roads, student loans","welfare, Obama care government waste","yes, I received unemployment compensation last year",47.0,university studies that are not nessisary,1.0,we are in a lower tax bracket so it helped a lot,4.0,,5.0,6.0,3.0,1.0,40,1.0,3.0,2.0,4.0,2,1,3,1,1,14,27,1.0,9.0,0.538743107,0,0,-1,0,59.0
Michigan,2,5.0,1.0,"Government, refund, paycheck, road repair and etc,, ",1,69.0,"Over three years ago, through paycheck.",Like usual.  Something that I have done over the years. Something my parents has done over the years.,income tax and property taxes.,1.0,"Federal, State, Local, and Fica (including Medicare)",0.0,0,"The road repair, school, family assistance when you needed it.","Nothing, basically. I am content at the moment about what my taxes pay for.  As long as it is not paying for illegal drugs or doing something illegally to the public.",So what.,9.0,Not sure.,1.0,in my last working years it really helped me save on taxes when my income was very small.,3.0,,4.0,4.0,2.0,1.0,25,2.0,3.0,2.0,4.0,1,2,6,5,4,23,29,2.0,12.0,1.375829411,0,1,0,0,21.0
Michigan,2,6.0,1.0,concern that I will have to pay more,1,61.0,I pay taxes everyday when I make a purchase and bi weekly from my paycheck ,Indiffrent,payroll,1.0,fica ,1.0,0,social security public assistance medicare,the war over seas weapons etc,no,61.0,war,2.0,i got a little bit of money on my return,1.0,its meant to help people,1.0,4.0,3.0,1.0,40,1.0,3.0,3.0,4.0,2,1,6,5,3,23,46,2.0,12.0,2.514393178,-1,0,-1,1,29.0
Illinois,2,2.0,4.0,money you must pay to make the politicians rich,1,81.0,last week at the store when I went shopping,Like Im getting my money ripped off from me,not working now so property tax and retail taxes,1.0,federal    social security  local   ,0.0,0,not sure what they pay for,salary for high paying gov  jobs,no I have worked all my life and never have been given anything for free,81.0,trips and vacations for themselfs,1.0,only got it a couple of times and I was happy to get it,1.0,I think its good if you get it but for others that dont   its not so good,5.0,,4.0,1.0,36,2.0,2.0,4.0,4.0,4,4,6,3,1,14,24,1.0,4.0,0.427902551,1,1,1,1,9.0
New York,1,5.0,6.0,"income, property and sales taxes that take a significant portion of my income",1,90.0,Sales tax I paid on food served at the restaurant I visited last night ,It is a necessary evil so I have leaarned to accept it,income taxes,1.0,"federal income, state income, social security",1.0,3,Welfare and other services that those who are not as blessed as I have been desparately need.,Government inefficiencies like the example I just gave - hiring more employees than are needed to provide a service,"Yes, my wife has been on scial security disability for many years and I have used various services that my tax payments have subsidized",15.0,Having more employees than needed to provide a service,3.0,,1.0,"It minimizes the tax bill low low incomer earners who need a break, so I have no problem with them",1.0,4.0,3.0,1.0,70,1.0,2.0,4.0,4.0,2,1,3,1,1,33,21,1.0,18.0,1.294973709,1,-1,1,-1,0.0
California,1,5.0,2.0,i think about where my money goes,1,61.0,i paid income tax which part of yearly filing,"it is ok, i don't know how much it helps the govt",it is the yearly tax filing for income tax,1.0,social secuirty,0.0,no,it helps make safer community,the govt waste the money and i don't like it,i don't think i ever benfited from it,68.0,i don't really know,2.0,it doesn't affect us,3.0,,1.0,7.0,4.0,2.0,47,2.0,1.0,2.0,4.0,1,1,1,5,1,5,52,1.0,12.0,0.718334602,0,1,0,0,29.0
California,1,5.0,7.0,"spending, federal government, bureaucracy, cronyism, subsidies",3,49.0,"either via my paycheck (deducted for the IRS, etc...), or perhaps sales tax on certain purchases","either a productive part of the citizenry with representative powers, or someone getting screwed","n/a, unless it's the indirect consequences of taxes passed down upon me, i.e, if I'll be able to get a paying gig",0.0,,0.0,0,perhaps defense and whatever rainy day type programs?,"anything that didn't warrant any bona fide talent or use that otherwise could be financed via the private sector, a.k.a, something that the public actually wants/finds useful, a.k.a, naturally-driven market forces",I don't know,40.0,subsidies,1.0,it helps add some cash into my savings,3.0,,2.0,6.0,,1.0,11,1.0,1.0,1.0,1.0,2,1,3,5,3,5,44,4.0,,2.205667448,0,-1,0,0,41.0
Arkansas,2,2.0,2.0,more money out of my paycheck,1,81.0,I paid out personal property taxes for the year.  We have 3 new schools that were built in our area and our taxes doubled this year.  We are down to one income right now so its very hard when taxes start increasing. ,"I know it has to be done to take care of our community, but sometimes for certain things they are extreme",personal property taxes,1.0,Medicaid  social security  federal and state withholding,2.0,1,"roads, emergency services, police, fire dept, education",other people who don't work,I honestly don't know. ,60.0,i dont know,1.0,it gives us a little more money back at the end of each year,4.0,,1.0,3.0,2.0,1.0,21,1.0,3.0,2.0,4.0,1,4,6,1,1,4,46,1.0,16.0,0.92577388,0,1,1,0,9.0
Virginia,1,6.0,3.0,I paid the state for citizens consume something,1,49.0,when selling my apartment,is a civic obligation,"These include taxes on income, payroll, property, sales,",1.0,"Federal Tax,FICA,MEDICAR....",2.0,nothing,"that is necessary for our country, and are transparent","it is not necessary for our country, and non-transparent","employee salaries, infrastructure etc.",20.0,costs of foreign wars,4.0,,2.0,pretty good,1.0,4.0,2.0,1.0,61,2.0,2.0,2.0,2.0,1,4,6,1,1,47,40,1.0,13.0,0.92577388,0,0,0,1,41.0
Illinois,2,3.0,7.0,giving the government money,1,91.0,I paid sales tax on my lunch today,not good,property taxes,1.0,"social security, federal, fica, state",2.0,1,schools is about it................,"crooked politicians, wasting of money, giving all our money to the poor, section 8 housing, food stamps, allowing to people to make more money off the government by having many children, planned parenthood, abortions, raises for politicians that already make 6 figures, giving money to other countries who hate us, the presidents jet to fly him on vacations, the vacations themselves, the secret service accompanying them to each individual vacation spot, ",NO.  I don't see the benefit from every time they go up.  I think they are for politician raises.,61.0,the president and all of his extravagent vacations,1.0,it helped a lot,3.0,,8.0,7.0,1.0,1.0,6,1.0,2.0,1.0,4.0,2,1,3,1,1,14,41,1.0,14.0,1.154111704,1,-1,-1,0,1.0
Illinois,2,5.0,,Money that each of us contributes toward the common good of our nation to provided necessary services to all of us.,1,61.0,When I shopped for groceries today I had to pay a tax on my purchases.,"Of course, it would be great if none of us had to pay taxes, but that is unreasonable.  We all have to contribute our fair share if we are able to.",Real estate and federal and state income taxes.,1.0,"Social Security, Federal and State Taxes and Medicare deductions",0.0,0,"For some things yes, for others no.  War is a ridiculous waste of life and money.",War and wasteful government spending via cronyism where contracts are awarded to not the best people for the job.,"To some degree, yes.  My taxes pay for police, firemen, roads, infrastructure, schools, etc.  ",40.0,"Wars and general theft by politicians with slush funds and contracts that are over paid, and of course, the government policies which allow corporations to part their earnings off shore and thereby neglect to pay their share of the commons that they use.",3.0,,3.0,,1.0,4.0,1.0,1.0,39,1.0,2.0,4.0,4.0,2,1,3,3,3,14,24,1.0,14.0,0.631508565,1,1,1,0,29.0
Illinois,2,5.0,1.0,OH HELL!!! ha ha! Oh well this something we all have to pay; there is no way around it.,1,80.0,"I pay taxes everyday when you purchase gas, chewing gum or lunch.",It is not a good feeling; just  away of life. Something you get use to doing from a very early age.,"Sorry, I don't understand the question.",1.0,FICA?,4.0,no,Nothing! I wish I could pocket that money.,Nothing at this time. Okay Civil servants that stand around at construction sites doing absolutely nothing for several hours.,NOOOOOOOOOOOOOOOOOOOOOOOOOOO!,50.0,Paying excessive wages to those high on the totem post.,3.0,,3.0,,1.0,2.0,1.0,1.0,40,1.0,2.0,2.0,4.0,1,1,6,1,1,14,48,2.0,18.0,5.000015345,-1,-1,0,0,10.0
Michigan,2,2.0,6.0,more money out of my pocket and why,1,51.0,I paid property tax and I pay sales tax on many things I buy and lets not forget about the taxes included in garoline,depending when you ask...some times good and sometimes not so much,property,1.0,"Fica, state, social security, social security medicare",0.0,one,roads to drive on and various activities in my community,welfare for those that work the system,"yes in many ways, I live in a nice town and have police and fire protection",41.0,unecessary travel and entertainment.  I think our government wastes far to much money on purchases,3.0,,3.0,,6.0,5.0,2.0,1.0,53,1.0,4.0,2.0,4.0,4,2,6,1,1,23,17,1.0,12.0,0.787470485,0,1,1,0,39.0
New York,1,6.0,4.0,a fee paid or collected to pay for certai capabiities,1,82.0,last Friday my paycheck had various taxes removed,like everyone else,mortgage,1.0,"fica, medicare, state, federal, city",2.0,no,my kids school is very good and supported by tax,illegal alien medical care,only for the school that my kids attend,49.0,too many agencies doing the same thing,4.0,,4.0,,1.0,4.0,2.0,1.0,28,1.0,2.0,3.0,4.0,2,1,3,1,1,33,33,1.0,19.0,1.294973709,-1,1,0,0,8.0
Pennsylvania,1,2.0,4.0,"My contribution from my salary that goes to pay for things like Police, Fire, Sanitation, the Military, and other Government services.",2,70.0,"Today, when I bought cigarettes, and gasoline.","I don't like it, but it has to be done.",Federal Income Taxes.,1.0,"Federal, State, City, FICA, Unemployment",0.0,none,"The services that I use, or might use in the future. I would hate to find out in the future that if my house was on fire that I would need to pay the Fire Department before they put out the fire.",I'm not upset that my taxes are being used for programs I don't like. It has to be done. / ,"My taxes go to the Government, which in turn goes to pay the salaries of Police, Fire, Sanitation, and other services that I use, or need to use in the future. / ",40.0,Spending money on things we do not need. ,4.0,,1.0,"It's a good thing. It means extra money goes back to families that need the money for their own use, or money that can be put into savings.",8.0,4.0,3.0,2.0,50,2.0,2.0,2.0,4.0,1,1,6,5,1,39,38,1.0,11.0,0.784998321,-1,-1,-1,1,20.0
Indiana,2,2.0,4.0,i will have to pay more money out of my pocket,1,40.0,May property taxes unless you consider all the tax I pay on everything thing I purchase thru the week,"it used to feel good, but now it doesn't feel right as I feel the tax dollars are being spent in a way that is not how it should be spent",federal taxes are the biggest part,1.0,"federal, state",0.0,0,"Social Security, Roads, but havent's seen much of either recently"," funding schooling of inmates, when decent, hard working people pay through the nose for college, mexican illegals,  rent for people who can clearly work, along with money for illegals for groceries",no I do no believe I have,96.0,rent/food money for illegals and people who are not disabled and can clearly work,3.0,,2.0,"as with about everything these days, the premise was fine, its just that too many have found a way to take advantage of the system and or taxes tax credits such as these and so the folks that deserve the tax or the ones it was designed to help suffer in the long run and so do others",6.0,4.0,2.0,1.0,60,2.0,2.0,4.0,4.0,4,4,6,1,1,15,23,1.0,9.0,0.538743107,-1,1,-1,1,50.0
Ohio,2,3.0,1.0,The money needed to keep the government operating properly!,1,64.0,I paid federal in come taxes last year.,Its part of being  a US citizen.,gasoline tax,1.0,"Fica, INCOME",1.0,no,"infrastructure, defense, social programs, healthcare",I feel that most of the tax is put to good use and I don't nitpick about a few things that may be unnecessary,"Yes, through better roads, defending the country and healthcare.",12.0,"Overpaying huge amounts for simple items such as screw, bolts, etc.for defense needs.",1.0,Allowed me to recive a refund.,3.0,,1.0,2.0,3.0,1.0,80,1.0,2.0,4.0,4.0,2,1,3,1,1,36,43,1.0,13.0,1.154111704,0,0,1,0,26.0
Texas,2,2.0,4.0,over taxed by the government,1,96.0,grocery store buying groceries and pet supplies,it is ok to be a taxpayer because the government has to run but they take sooo much that it is hard to get by with whats left,tax on my husbands earnings,1.0,"fica, medicare,wiitholding",0.0,myself and my spouse,"I would love to see it spent on helping people that really need help, not people that use the system. more help for older people to be comfortable, help for veterans","illegals free health care, sending a lot of money for foreign aid when they can't even help their own people, wasteful extravagance on politicians",no I don't think I have benefited enough. ,51.0,politicians  own selfish use for vacations and buying extravagant things for themselves,1.0,it really helped at the time to put groceries on the table when i had young children,1.0,I think it is a good thing if it is not abused like it is. I know a lot of illegals who report being seperated so that they both claim that tax,4.0,6.0,2.0,2.0,23,2.0,1.0,2.0,4.0,1,1,3,1,1,44,21,1.0,11.0,0.432154266,0,0,-1,1,6.0
Florida,2,1.0,4.0,Cowboys cheerleaders bulls,3,0.0,When I bought something taxable,I am not sure,Clothing,0.0,,3.0,No,The poor children that need food,Lazy people who keep having kids ,Yes with all te assistance I have,,Trash,4.0,,2.0,It is a blessing,8.0,,,2.0,10,2.0,4.0,3.0,,3,4,6,5,4,10,56,1.0,1.0,0.627293163,1,-1,1,1,90.0
New Mexico,1,5.0,4.0,I think oh no not again. They just went up last year,1,40.0,When I filled up my car with gasoline,It sucks. Would not mind so much if everyone carried their fair share,"Taxes on gaoline, Utilities and food",1.0,"SSN, NM state Tax, FICA and federal tax",0.0,wife,I know taxes keep the country running but I see so much waste all around it is sickining I am thankful for Medicare and SSN,I get upset when I see my tax dollars being used to provide food stamps and living expenses for drug addicts and alcoholics who refuse to get themselves clean and get a job.,I collect SSN and plan to live long enough to collect all I put in and more,81.0,Lack of control on food stamps and welfare recipients,3.0,,1.0,I think its great for those getting it but a complete waste of money and really unfair  distribution of tax monies,6.0,5.0,2.0,1.0,40,1.0,2.0,5.0,1.0,2,1,6,1,1,32,7,1.0,12.0,0.574527399,-1,1,0,-1,50.0
Minnesota,2,1.0,4.0,"Pay uncle sam his money, also known as the IRS.",1,51.0,the last time purtchased an item at the store they charged me taxes for my item.,hate it think taxes should be already figured into the price of what you are paying for.,property taxes,1.0,social security and fedral taxes,1.0,0,to help the public schools and the medical insurance that most cant afford.,welfare dependent people. more should try to earn thier dollars instead of the free hand out.,no end up payingb them more money most of the time.,100.0,giving money to fat or lazy people who dont FEEL like working.,1.0,usually gives credit when collecting our taxes at the end of the year.,1.0,it helps those who have children. having extra mouths cost more money.,2.0,4.0,3.0,2.0,0,2.0,2.0,3.0,4.0,4,4,6,5,4,24,52,1.0,3.0,0.782012106,-1,-1,-1,1,39.0
South Carolina,1,5.0,7.0,"Leftest, liberal, anti-American, Obama driven Democrats",1,20.0,Every day I pay taxes on everything I purchase. ,"Taxes are ok up to a point, but when the money is wasted by the billions as in the current administration, it is criminal.",state income taxes,1.0,"fica, state, ",0.0,2 adults,government operations up to the point they are not userous,"excess and wasted welfare, food stamps, housing, housing credits, home heating, electricty, multiple child welfare,  ","roads and necessary infastructure, fire, police, sewer, water, defense, ",39.0,"excess government infastructure, billions wasted in overspending, duplication of departments and charters, people and support",3.0,,3.0,,6.0,7.0,1.0,1.0,29,1.0,1.0,2.0,2.0,2,1,3,1,1,41,7,1.0,13.0,0.74043831,0,-1,-1,0,70.0
Florida,1,2.0,5.0,too high for value received,1,100.0,today sales tax and license plate taxes,depends on return on value federal taxes are being wasted,sales and property,1.0,"federal income, state income, ss, medicare",0.0,wife,"military, border security, roads and infra structure, medicare, social security, all other expenditures are glut","irs, gao, congress, president, epa, hhs, hs, tsa, etc.......","education, social security, medicare, military, fda in the past",35.0,"epa, government parties, paid days off for failures in duties or criminal activities",3.0,,1.0,it is a better way to assist than welfare and food stamps as long as it goes to people trying,6.0,6.0,2.0,1.0,40,1.0,2.0,5.0,4.0,2,1,3,1,1,10,11,1.0,9.0,0.631671616,1,-1,1,1,10.0
Texas,1,2.0,2.0,money for politicians to waste,1,80.0,I pay sales tax almost every day,nothing is free,sales tax,1.0,"Social Security, Federal income tax",0.0,0,I'm glad that we have police and fire and rescue services. The streets and roadways are maintained fairly well.,Wasteful spending by our politicians! Giving themselves raises and cutting the common man's services.,just about every state of federal program or service is funded by taxes,39.0,politicians salaries,4.0,,1.0,every little bit helps,9.0,4.0,3.0,,49,2.0,3.0,3.0,4.0,2,1,3,3,3,44,26,1.0,5.0,0.343243209,-1,-1,0,1,10.0
Michigan,1,2.0,4.0,pay raise for the top bosses an not much else,1,67.0,you lose taxes every time your paid a check ,it feels fine just wish the money was better used,i would have to say federal tax maybe ,1.0,state federal and social security,0.0,0,i think the main thing is infule strucher it make every thing better,all the wars an arming other people the middle east would be safer if we never gave so much weapons,the roads an road up keep is the main an cops,86.0,the leaders are paid far to high for as slow as they work an to many wars,1.0,can always use the extra money it help catch up on things,1.0,its a good thing expressly the child one kids are not cheap,2.0,4.0,1.0,2.0,30,2.0,2.0,3.0,4.0,1,2,1,5,1,23,55,1.0,3.0,0.782012106,1,1,0,1,23.0
California,3,6.0,1.0,The price we pay for civilization.,1,100.0,There would've been sales tax on my lunch.,"It's just a fact of life, not really good or bad. I'm proud to be a citizen, and I think it's my moral duty to contribute to support our society, but it's the identity of ""citizen"" I care about, not ""taxpayer"".","I think federal income tax is our largest, but I'm not certain; FICA is non-trivial, especially if you count the employer share, and sales taxes are pretty steep in CA as well..",1.0,"Federal Income, Federal OASDI, Medicare, State Income, State OASDI",0.0,0,"General social safety net (OASDI, various medical insurance programs, SNAP), investment in infrastructure, scientific and medical research, education, management of the macro-economy, public health and safety, maintaining public parks and monuments, lots of other stuff.","Wasteful military spending, subsidizing religion (especially lies in the schools, like ""abstinence only"" sex ed), war on drugs, over-aggressive surveillance, probably other things I could think of.","Yes. The basic infrastructure of society depends on taxes. Without taxes there can be no State, and without a State, you live in the state of nature, in which life is nasty, brutish, and short.  You're at the mercy of whoever wants to come along and kill you or take your stuff.  I got a pretty good public K-12 education, depend on public roads and trains to get to work, work in an industry that wouldn't exist without the public investment that created computers and the internet, benefit from many medical advances that were at least in part paid for by government funds, etc.",5.0,Pentagon bloat.,3.0,,1.0,"I'd be in favor of expanding the EITC to subsidize the employment of people at the bottom of the skills ladder.  I'm lukewarm on the child credit as it exists; I'd rather convert the deductions for children into refundable credits, making them more valuable to poor people, less valuable to rich people.",1.0,1.0,1.0,1.0,80,1.0,1.0,3.0,2.0,2,1,3,1,3,5,45,1.0,19.0,2.165646716,-1,1,1,1,10.0
Georgia,1,6.0,1.0,Paying my share to run the government.,1,50.0,I paid sales tax on my lunch today.,Like I am doing my part to keep the nation afloat.,Federal income tax.,1.0,"FICA, Federal, State, ",0.0,0,To keep the government solvent and make sure we stay free and safe.,Welfare to those who abuse the system.,Yes.  My parents collect social security.,30.0,Nothing in particular.  I was thinking in generalities.,3.0,,1.0,It is an OK tax credit to help the poor.,1.0,1.0,2.0,1.0,61,1.0,3.0,1.0,4.0,1,4,6,5,1,11,23,1.0,18.0,1.302865633,1,1,1,1,40.0
Texas,1,2.0,,money that is taken out of my pocket,1,59.0,"income tax, tax on food, gas",sucks,income,1.0,state federal,0.0,0,glad for police firemen and parks,dont know right now.............,no,61.0,nothing,3.0,,4.0,,5.0,,4.0,2.0,20,2.0,4.0,,4.0,4,4,6,1,3,44,28,3.0,12.0,1.103625348,0,-1,-1,0,31.0
Texas,1,4.0,2.0,the price for making money,1,51.0,the last time was a sales tax,no comment,income tax,1.0,income tax,0.0,no,nothing cannot think of anything to be glad about,not upset about anything in particular,no,60.0,not sure,3.0,,4.0,,1.0,4.0,4.0,1.0,21,1.0,4.0,4.0,1.0,2,1,6,3,3,44,32,2.0,12.0,1.103625348,0,-1,-1,0,39.0
California,2,2.0,1.0,expensive and goes up and up.  Taxes helps  many things  but I think the government departments put  a lot of the money in their  pockets.     ,3,77.0,   I  went  shopping  at a  few stores and purchase  items.    I  purchased  gas for my car  I pay  all their different  taxes.    .  ,depends if the the tax is spent on the right things  or it is put in the pockets of the  big wigs. ,gasoline and  household purchases.  ,1.0,"federal tax, state tax, local tax and social security tax.",0.0,none,education even though there has been so many cut for education  in the past few years.   helping people.,not  giving  schools money enough to have smaller classrooms  and supplies. /  / paying for self made raises for   high ranking government employees  big wigs. ,has helped  with  few things  because of being low income.    .    ,69.0,"raising their wages.  spend money to help them self on what ever  projects their are doing.  unorganized,  wasteful spending,  paper work  made so complicated they don't even understand it.",3.0,,3.0,,6.0,2.0,,1.0,20,1.0,3.0,1.0,4.0,2,2,6,3,1,5,13,1.0,1.0,0.456324613,1,0,-1,0,13.0
California,1,4.0,1.0,money that goes to the goverment,1,81.0,sales tax at Costco for my food and stuffs and others,I like my roads repaired,sales tax,1.0,fica,0.0,none,"roads, police, fire department",congress and the house and there staff,the roads get repaired,20.0,the salary of the republican congress and senate,3.0,,1.0,it helps some ,4.0,4.0,3.0,1.0,50,1.0,3.0,3.0,4.0,2,1,6,1,3,5,28,1.0,13.0,0.460739774,0,1,0,1,9.0
